often "abused" to do video,Main purpose=(interactive) video shows,broader idea
unreal,isdora,cinder
unity,notch,max/msp/jitter
,smode,openframeworks
,ventuz,pd/ofelia
,hydra,PraxisLive
,kodelife,tooll
,wire,TouchDesigner
,,vvvv
,,vvvvjs
,,cables.gl
